unixtime, timestamp, slave_ID, co2, duty1, co2ave1, co2ave5, dutyave5, co2sd5, temp, pressure, humidity, gas, approx_altitude
1565501056.00,2019/8/11 5:24:17,255,489.00,500.00,488.83,488.03,500.00,NA,19.91,1017.42,86.38,104.43,-34.50
1565501312.00,2019/8/11 5:29:17,255,485.00,500.00,485.00,487.22,500.00,NA,19.98,1017.44,85.89,105.60,-34.83
1565501696.00,2019/8/11 5:34:17,255,484.00,500.00,483.92,484.67,500.00,NA,19.97,1017.53,85.80,106.60,-35.58
1565501952.00,2019/8/11 5:39:17,255,483.00,500.00,483.00,483.40,500.00,NA,19.98,1017.67,85.30,106.06,-36.41
1565502208.00,2019/8/11 5:44:17,255,478.00,500.00,478.83,480.35,500.00,NA,20.01,1017.79,85.72,107.42,-37.90
1565502592.00,2019/8/11 5:49:17,255,481.00,500.00,480.67,479.72,500.00,NA,20.04,1017.85,86.02,105.01,-38.23
1565502848.00,2019/8/11 5:54:17,255,480.00,500.00,481.33,481.55,500.00,NA,20.13,1017.95,85.41,105.54,-39.06
1565503104.00,2019/8/11 5:59:17,255,477.00,500.00,477.00,477.43,500.00,NA,20.19,1018.08,85.14,106.33,-40.14
1565503488.00,2019/8/11 6:4:17,255,478.00,500.00,478.00,478.10,500.00,NA,20.27,1018.12,85.18,104.94,-40.64
1565503744.00,2019/8/11 6:9:17,255,478.00,500.00,478.00,478.00,500.00,NA,20.51,1018.18,85.84,100.99,-41.13
1565504000.00,2019/8/11 6:14:18,255,477.00,500.00,477.67,478.02,500.00,NA,21.90,1018.24,82.23,104.55,-41.46
1565504384.00,2019/8/11 6:19:18,255,474.00,500.00,474.75,476.80,500.00,NA,23.69,1018.37,77.32,113.64,-42.63
1565504640.00,2019/8/11 6:24:18,255,463.00,500.00,463.58,468.15,500.00,NA,25.10,1018.46,71.77,134.78,-43.29
1565504896.00,2019/8/11 6:29:18,255,454.00,500.00,454.00,449.98,499.98,NA,25.87,1018.52,67.89,165.93,-43.79
1565505280.00,2019/8/11 6:34:18,255,452.00,500.00,452.00,452.43,500.00,NA,26.61,1018.54,66.55,163.99,-44.12
1565505536.00,2019/8/11 6:39:18,255,457.00,500.00,457.00,454.90,500.00,NA,27.21,1018.56,65.54,152.16,-44.12
1565505920.00,2019/8/11 6:44:18,255,459.00,500.00,459.00,458.78,500.00,NA,27.50,1018.60,64.97,151.89,-44.61
1565506432.00,2019/8/11 6:54:18,255,453.00,406.73,453.58,455.85,342.83,NA,27.93,1018.70,64.44,141.93,-45.44
1565506816.00,2019/8/11 6:59:19,255,453.00,500.00,454.00,454.08,462.49,NA,28.05,1018.70,63.99,145.73,-45.28
1565507072.00,2019/8/11 7:4:19,255,801.00,403.87,817.50,750.33,457.26,NA,28.26,1018.78,62.42,153.27,-45.94
1565507328.00,2019/8/11 7:9:19,255,783.00,340.09,781.58,793.80,366.85,NA,28.07,1018.81,63.68,160.41,-46.19
1565507712.00,2019/8/11 7:14:19,255,802.00,300.19,811.50,775.25,332.40,NA,27.96,1018.81,64.27,159.20,-46.36
1565507968.00,2019/8/11 7:19:19,255,817.00,206.00,815.50,807.42,258.35,NA,28.08,1018.87,64.62,145.98,-46.68
1565508224.00,2019/8/11 7:24:19,255,806.00,153.47,800.00,776.98,185.66,NA,28.35,1018.91,63.90,148.81,-47.02
1565508608.00,2019/8/11 7:29:19,255,834.00,50.67,817.42,811.48,101.94,NA,28.42,1018.91,62.89,164.15,-47.18
1565508864.00,2019/8/11 7:34:19,255,832.00,0.59,833.58,807.22,17.91,NA,28.41,1018.95,62.77,174.51,-47.18
1565509120.00,2019/8/11 7:39:20,255,806.00,0.59,813.42,817.98,0.59,NA,28.56,1018.95,62.65,182.24,-47.18
1565509504.00,2019/8/11 7:44:20,255,807.00,0.45,795.33,799.80,0.38,NA,28.99,1018.87,62.27,179.90,-46.85
1565509760.00,2019/8/11 7:49:20,255,805.00,0.05,808.42,805.87,0.57,NA,29.27,1018.87,60.28,191.96,-46.85
1565510016.00,2019/8/11 7:54:20,255,808.00,1.16,794.00,783.60,2.38,NA,29.60,1018.87,60.98,191.30,-46.68
1565510400.00,2019/8/11 7:59:20,255,829.00,0.04,824.17,820.67,0.41,NA,29.89,1018.80,59.98,181.06,-46.19
1565510656.00,2019/8/11 8:4:20,255,804.00,0.18,796.50,791.12,1.71,NA,30.14,1018.80,59.29,192.85,-46.19
1565510912.00,2019/8/11 8:9:20,255,763.00,2.63,773.00,764.70,5.04,NA,30.73,1018.81,54.13,220.39,-46.19
1565511296.00,2019/8/11 8:14:21,255,835.00,2.03,810.42,751.70,4.71,NA,31.22,1018.85,55.04,265.12,-46.68
1565511552.00,2019/8/11 8:19:21,255,764.00,1.50,794.92,787.20,4.40,NA,31.60,1018.81,53.53,258.72,-46.36
1565511808.00,2019/8/11 8:24:21,255,760.00,0.14,767.33,771.13,2.52,NA,31.96,1018.83,53.23,260.34,-46.36
1565512192.00,2019/8/11 8:29:21,255,756.00,1.51,768.25,752.48,1.86,NA,32.30,1018.89,51.91,303.15,-47.02
1565512448.00,2019/8/11 8:34:21,255,728.00,5.24,736.75,766.05,2.82,NA,32.45,1018.87,49.15,354.30,-46.85
1565512704.00,2019/8/11 8:39:21,255,742.00,17.43,769.08,720.13,14.20,NA,32.41,1018.81,47.87,373.02,-46.11
